time,mnvel,errvel,tel,svalue
2459677.9802383,-6.242468501792984,1.5742922102945796,MAROON-X Blue,nodata
2459678.9563171,-11.742544667709728,1.5393474765049937,MAROON-X Blue,nodata
2459680.8670781,-6.319505022361587,1.5718925344822068,MAROON-X Blue,nodata
2459682.9317091,8.074279243409707,1.1762338632491436,MAROON-X Blue,nodata
2459688.9707073,1.0517412846091099,1.4085681220570594,MAROON-X Blue,nodata
2459690.0054999,5.4993412751691375,1.0239482226027596,MAROON-X Blue,nodata
2459696.8967542,6.519123706738858,1.029093696418029,MAROON-X Blue,nodata
2459780.7797433,0.6166499820006632,0.9962745005820303,MAROON-X Blue,nodata
2459791.7447053,-10.06122564187647,1.672722199027175,MAROON-X Blue,nodata
2459792.7445192,-12.01114290949949,1.264884612204731,MAROON-X Blue,nodata
2459677.9802383,-10.019080039761533,2.6600568723865807,MAROON-X Red,nodata
2459678.9563171,-13.253723321233952,2.6043000949511255,MAROON-X Red,nodata
2459680.8670781,-3.225249696705393,2.636022832940385,MAROON-X Red,nodata
2459682.9317091,7.355022585063946,2.0376775565815812,MAROON-X Red,nodata
2459688.9707073,1.3522520806494744,2.385699089448668,MAROON-X Red,nodata
2459690.0054999,4.750232812683982,1.8019763888513058,MAROON-X Red,nodata
2459696.8967542,4.091710264067461,1.8014258155928315,MAROON-X Red,nodata
2459780.7797433,3.9722021664424756,1.8281702607872563,MAROON-X Red,nodata
2459791.7447053,-5.788827568450274,2.9966953861197205,MAROON-X Red,nodata
2459792.7445192,-9.456455570426419,2.2471093187100437,MAROON-X Red,nodata
